beer_id_beerAdvocate,beer_name_beerAdvocate,brewery_id_beerAdvocate,brewery_name_beerAdvocate,beer_id_rateBeer,beer_name_rateBeer,brewery_id_rateBeer,brewery_name_rateBeer,similarity
4647,Blue Bell Bitter,463,Magnolia Pub & Brewery,2647,Magnolia Blue Bell Bitter,245,Magnolia Pub and Brewery,1.0
21029,Winter Warmer,463,Magnolia Pub & Brewery,2658,Magnolia Winter Warmer,245,Magnolia Pub and Brewery,1.0
17969,SFH (So Fn Hoppy),2042,Santa Barbara Brewing Company,35589,Santa Barbara SFH (So Fn Hoppy),2381,Santa Barbara Brewing Company,1.0
30818,Cerveza Negra,10378,Old Capitol Brew Works and Public House,47652,Old Capitol Cerveza Negra,5328,Old Capitol Brew Works and Public House,1.0
22739,Oysterhead Stout,463,Magnolia Pub & Brewery,71293,Magnolia Oysterhead Stout,245,Magnolia Pub and Brewery,1.0
15195,Grim Reaper,2042,Santa Barbara Brewing Company,22140,Santa Barbara Grim Reaper,2381,Santa Barbara Brewing Company,1.0
14740,Sinister Saison,2042,Santa Barbara Brewing Company,17157,Santa Barbara Sinister Saison,2381,Santa Barbara Brewing Company,1.0
13480,Amoeba Ale,2042,Santa Barbara Brewing Company,26920,Santa Barbara Amoeba Ale,2381,Santa Barbara Brewing Company,1.0
26189,High Time Harvest,463,Magnolia Pub & Brewery,51188,Magnolia High Time Harvest Ale,245,Magnolia Pub and Brewery,1.0
69933,Belgian Dubbel,1344,Cricket Hill Brewing Co.,143244,Cricket Hill Small Batch Belgian Dubbel,2923,Cricket Hill Brewing Co.,1.0
28828,Slipping Into Darkness,463,Magnolia Pub & Brewery,56311,Magnolia Slipping Into Darkness India Brown Ale,245,Magnolia Pub and Brewery,1.0
31841,Summit IPA,463,Magnolia Pub & Brewery,61161,Magnolia Summit IPA,245,Magnolia Pub and Brewery,1.0
4572,Sara's Ruby Mild,463,Magnolia Pub & Brewery,2649,Magnolia Saras Ruby Mild,245,Magnolia Pub and Brewery,1.0
4573,Prescription Pale,463,Magnolia Pub & Brewery,2646,Magnolia Prescription Pale Ale,245,Magnolia Pub and Brewery,1.0
75606,White Birch Route 6,20417,White Birch Brewing,159456,White Birch Route 6 Ale,10775,White Birch Brewing,1.0
73190,White Birch Apprentice Series Eorna Ceol Ale,20417,White Birch Brewing,150117,White Birch Apprentice Series Eorna Ceol,10775,White Birch Brewing,1.0
967,Pike Bootleg Brown,365,Pike Pub & Brewery,1180,Pike Bootleg Brown,193,Pike Pub & Brewery,1.0
10062,Jamieson Raspberry,4668,Jamieson Brewery,23671,Jamieson Raspberry ,2610,Jamieson Brewery,1.0
37039,Berliner Style Weisse,4909,Gasthaus & Gosebrauerei Bayerischer Bahnhof,71330,Bayerischer Bahnhof Berliner Style Weisse,3795,Gasthaus & Gosebrauerei Bayerischer Bahnhof,1.0
59463,White Birch Barrel Aged Indomitus American Wild Ale,20417,White Birch Brewing,125166,White Birch Barrel Aged Indomitus,10775,White Birch Brewing,1.0
59462,White Birch Berliner Weisse,20417,White Birch Brewing,125172,White Birch Berliner Weisse,10775,White Birch Brewing,1.0
58283,White Birch Apprentice Series Aloha Ale,20417,White Birch Brewing,123692,White Birch Apprentice Series Aloha,10775,White Birch Brewing,1.0
58282,White Birch Collaboration Series Moonlight Ale,20417,White Birch Brewing,123691,White Birch Collaboration Series Moonlight Ale,10775,White Birch Brewing,1.0
53751,Roaring Ruby,11743,Naylor's Brewery,109686,Naylors Roaring Ruby,6082,Naylors,1.0
57746,White Birch Indulgence Ale,20417,White Birch Brewing,123061,White Birch Indulgence Ale,10775,White Birch Brewing,1.0
56873,White Birch Wrigian,20417,White Birch Brewing,123175,White Birch Wrigian,10775,White Birch Brewing,1.0
56739,White Birch Bohemian Edition Tripel,20417,White Birch Brewing,121192,White Birch Bohemian Edition Tripel,10775,White Birch Brewing,1.0
24208,Distelhäuser Landbier,6807,Distelhäuser Brauerei,37381,Distelhäuser Landbier,297,Distelhäuser Brauerei,1.0
34582,Distelhäuser Premium Pils,6807,Distelhäuser Brauerei,1671,Distelhäuser Premium Pils,297,Distelhäuser Brauerei,1.0
39449,Distelhäuser Hefe-Weizen,6807,Distelhäuser Brauerei,1676,Distelhäuser Hefe-Weizen,297,Distelhäuser Brauerei,1.0
10060,Jamieson Brown Ale,4668,Jamieson Brewery,14472,Jamieson Brown Ale,2610,Jamieson Brewery,1.0
10061,Jamieson Mountain Ale,4668,Jamieson Brewery,47902,Jamieson Mountain Ale,2610,Jamieson Brewery,1.0
21591,Jamieson Pale Ale,4668,Jamieson Brewery,42987,Jamieson Pale Ale,2610,Jamieson Brewery,1.0
62818,White Birch Oak Aged Old Stone Wall Ale,20417,White Birch Brewing,132746,White Birch Oak Aged Old Stone Wall Ale,10775,White Birch Brewing,1.0
56388,White Birch Winter Warmer,20417,White Birch Brewing,119342,White Birch Winter Warmer,10775,White Birch Brewing,1.0
87,Stone Pale Ale,147,Stone Brewing Co.,420,Stone Pale Ale,76,Stone Brewing Co.,1.0
55672,White Birch Oak Aged Pilot Project,20417,White Birch Brewing,119975,White Birch Oak Aged Pilot Project,10775,White Birch Brewing,1.0
53676,Jamieson Chocolate Bock,4668,Jamieson Brewery,110690,Jamieson Chocolate Bock,2610,Jamieson Brewery,1.0
55671,White Birch Cherry Quad,20417,White Birch Brewing,121054,White Birch Cherry Quad,10775,White Birch Brewing,1.0
63809,Jamieson Black Beast,4668,Jamieson Brewery,133416,Jamieson Black Beast,2610,Jamieson Brewery,1.0
66608,Jamieson Lemon Myrtle IPA,4668,Jamieson Brewery,138969,Jamieson Lemon Myrtle IPA,2610,Jamieson Brewery,1.0
10063,Masthead Alpha Pale Ale,4669,Masthead Brewery,8809,Masthead Alpha Pale Ale,1669,Masthead Brewery,1.0
10064,Masthead Beez Neez,4669,Masthead Brewery,8808,Masthead Beez Neez,1669,Masthead Brewery,1.0
10065,Masthead Bohemian Pilzner,4669,Masthead Brewery,18361,Masthead Bohemian Pilzner,1669,Masthead Brewery,1.0
10066,Masthead Cane Toad,4669,Masthead Brewery,8810,Masthead Cane Toad,1669,Masthead Brewery,1.0
10067,Masthead Island Pils,4669,Masthead Brewery,10646,Masthead Island Pils,1669,Masthead Brewery,1.0
10068,Masthead Naked Ale,4669,Masthead Brewery,18190,Masthead Naked Ale,1669,Masthead Brewery,1.0
10069,Masthead Storm Brew,4669,Masthead Brewery,22310,Masthead Storm Brew,1669,Masthead Brewery,1.0
10683,Leipziger Gose,4909,Gasthaus & Gosebrauerei Bayerischer Bahnhof,23041,Bayerischer Bahnhof Original Leipziger Gose,3795,Gasthaus & Gosebrauerei Bayerischer Bahnhof,1.0
62838,White Birch Barrel Aged Rye Four,20417,White Birch Brewing,134456,White Birch Barrel Aged Rye Four,10775,White Birch Brewing,1.0
48286,Wildland Sour Ale #1,4632,Pumphouse Brewery,100039,Pumphouse Wildland Sour Ale #1,2240,Pumphouse Brewery and Restaurant,1.0
66609,White Birch Barley Wine Ale,20417,White Birch Brewing,147839,White Birch Barley Wine Ale,10775,White Birch Brewing,1.0
72987,White Birch Haystack Havoc,20417,White Birch Brewing,153676,White Birch Haystack Havoc Ale,10775,White Birch Brewing,1.0
72789,White Birch Birchwood Smoked Stout,20417,White Birch Brewing,153245,White Birch Birchwood Smoked Stout,10775,White Birch Brewing,1.0
71988,White Birch Apprentice Series Deviant Monk Oak Aged Ale,20417,White Birch Brewing,150116,White Birch Apprentice Series Deviant Monk,10775,White Birch Brewing,1.0
71527,White Birch Farmhouse Red,20417,White Birch Brewing,145488,White Birch Farmhouse Red,10775,White Birch Brewing,1.0
63143,Shockwave Scottish Ale,4632,Pumphouse Brewery,153237,Pumphouse Shockwave Scottish Ale,2240,Pumphouse Brewery and Restaurant,1.0
67353,Craven Kriek,11743,Naylor's Brewery,95673,Naylors Craven Kriek,6082,Naylors,1.0
69576,Hooligan Double IPA,4632,Pumphouse Brewery,144262,Pumphouse Hooligan Double IPA,2240,Pumphouse Brewery and Restaurant,1.0
69577,Cherry Wheat,4632,Pumphouse Brewery,145975,Pumphouse Cherry Wheat,2240,Pumphouse Brewery and Restaurant,1.0
70003,White Birch Apprentice Series Camp Travis,20417,White Birch Brewing,145487,White Birch Apprentice Series Camp Travis,10775,White Birch Brewing,1.0
71924,Wildfire Wheat,4632,Pumphouse Brewery,14808,Pumphouse Wildfire Wheat,2240,Pumphouse Brewery and Restaurant,1.0
69019,White Birch Oak Aged Tripel - Absinthe,20417,White Birch Brewing,154020,White Birch Oak Aged Tripel - Absinthe,10775,White Birch Brewing,1.0
68155,White Birch Apprentice Series Nyx,20417,White Birch Brewing,143506,White Birch Apprentice Series Nyx,10775,White Birch Brewing,1.0
67523,White Birch Hop Session Ale,20417,White Birch Brewing,141374,White Birch Hop Session Ale,10775,White Birch Brewing,1.0
66917,White Birch Quad,20417,White Birch Brewing,140176,White Birch Quad,10775,White Birch Brewing,1.0
45807,Fall Festivus,1344,Cricket Hill Brewing Co.,93267,Cricket Hill Fall Festivus,2923,Cricket Hill Brewing Co.,1.0
39050,Badischer Rittertrunk,6801,Brauhaus Kühler Krug,55771,Kühler Krug Badischer Rittertrunk,6566,Brauhaus Kühler Krug,1.0
16811,Rothaus Hefeweizen,464,Badische Staatsbrauerei Rothaus AG,9284,Rothaus Hefeweizen,1602,Badische Staatsbrauerei Rothaus,1.0
17015,Rothaus Pils Tannen Zäpfle,464,Badische Staatsbrauerei Rothaus AG,9599,Rothaus Pils Tannen Zäpfle,1602,Badische Staatsbrauerei Rothaus,1.0
17206,Rothaus Eis Zäpfle,464,Badische Staatsbrauerei Rothaus AG,21661,Rothaus Eis Zäpfle,1602,Badische Staatsbrauerei Rothaus,1.0
66489,White Birch Barrel Aged Night Falls,20417,White Birch Brewing,143196,White Birch Barrel Aged Night Falls,10775,White Birch Brewing,1.0
41880,Paymaster's Porter,1344,Cricket Hill Brewing Co.,68949,Cricket Hill Paymasters Porter,2923,Cricket Hill Brewing Co.,1.0
66112,White Birch Tavern Ale,20417,White Birch Brewing,141576,White Birch Tavern Ale,10775,White Birch Brewing,1.0
37123,Jersey Summer Breakfast Ale,1344,Cricket Hill Brewing Co.,71132,Cricket Hill Jersey Summer Breakfast Ale,2923,Cricket Hill Brewing Co.,1.0
32922,Helles Bock,1344,Cricket Hill Brewing Co.,61190,Cricket Hill Helles Bock,2923,Cricket Hill Brewing Co.,1.0
10094,Colonel Blides Cask Ale,1344,Cricket Hill Brewing Co.,108436,Cricket Hill Colonel Blides Cask Ale,2923,Cricket Hill Brewing Co.,1.0
65702,White Birch Harvest Ale,20417,White Birch Brewing,139490,White Birch Harvest Ale,10775,White Birch Brewing,1.0
65638,White Birch Hooksett Ale,20417,White Birch Brewing,135593,White Birch Hooksett Ale,10775,White Birch Brewing,1.0
64630,White Birch Rye Four,20417,White Birch Brewing,135403,White Birch Rye Four,10775,White Birch Brewing,1.0
64148,White Birch Barrel Aged Elysium,20417,White Birch Brewing,135115,White Birch Barrel Aged Elysium,10775,White Birch Brewing,1.0
62962,White Birch Apprentice Series Natasha Ale,20417,White Birch Brewing,134505,White Birch Apprentice Series Natasha ,10775,White Birch Brewing,1.0
29261,Korruption Kolsch Ale,13446,Wind River Brewing Company,34943,Wind River Korruption Kolsch Ale,4803,Wind River Brewing,1.0
965,Pike Weisse,365,Pike Pub & Brewery,1178,Pike Weisse,193,Pike Pub & Brewery,1.0
13078,Special Bitter,205,Buffalo Bill's Brewery,8501,Buffalo Bills Special Bitter,789,Buffalo Bills Brewery,1.0
44188,Old Odense,8264,Nørrebro Bryghus,82437,Nørrebro Old Odense Ale,3992,Nørrebro Bryghus,1.0
17221,Påske Bock,8264,Nørrebro Bryghus,33139,Nørrebro Påske Bock,3992,Nørrebro Bryghus,1.0
17222,King's County Brown Ale,8264,Nørrebro Bryghus,28667,Nørrebro Kings County Brown Ale,3992,Nørrebro Bryghus,1.0
19944,North Bridge Extreme,8264,Nørrebro Bryghus,38980,Nørrebro North Bridge Extreme,3992,Nørrebro Bryghus,1.0
19945,La Granja Stout,8264,Nørrebro Bryghus,27576,Nørrebro La Granja Stout,3992,Nørrebro Bryghus,1.0
4373,Point Defiance IPA,1386,Harmon Restaurant & Brewery,17750,Harmon Point Defiance IPA,3015,Harmon Brewery & Restaurant,1.0
19947,Little Korkny Ale,8264,Nørrebro Bryghus,32105,Nørrebro Little Korkny Ale,3992,Nørrebro Bryghus,1.0
19948,Montceau Ginger,8264,Nørrebro Bryghus,34841,Nørrebro Montceau Ginger,3992,Nørrebro Bryghus,1.0
19949,Royal Hobart Ale,8264,Nørrebro Bryghus,34204,Nørrebro Royal Hobart Ale,3992,Nørrebro Bryghus,1.0
23098,Ravnsborg Rød,8264,Nørrebro Bryghus,26903,Nørrebro Ravnsborg Rød,3992,Nørrebro Bryghus,1.0
27256,Jag Light,1614,River City Brewing Company,18137,River City Brewing (Florida) Jag Light,3072,River City Brewing Company (Florida),1.0
23100,Graupner Schwarz,8264,Nørrebro Bryghus,43945,Nørrebro Graupner Schwarz,3992,Nørrebro Bryghus,1.0
33791,Double Knot Brown,8264,Nørrebro Bryghus,58232,Nørrebro Double Knot Brown,3992,Nørrebro Bryghus,1.0
34737,Nørrebro Julebryg,8264,Nørrebro Bryghus,28668,Nørrebro Julebryg,3992,Nørrebro Bryghus,1.0
39131,Skärgaards Porter,8264,Nørrebro Bryghus,59300,Nørrebro Skärgaards Porter,3992,Nørrebro Bryghus,1.0
48239,Mikkels Monster,8264,Nørrebro Bryghus,94803,Nørrebro Mikkels Monster (Blended),3992,Nørrebro Bryghus,1.0
15771,New York Lager,8264,Nørrebro Bryghus,26900,Nørrebro New York Lager,3992,Nørrebro Bryghus,1.0
71355,Endless Summer,4555,Tustin Brewing Company,149971,Tustin Endless Summer,3010,Tustin Brewing Company,1.0
69081,Chocolate Porter,4555,Tustin Brewing Company,144941,Tustin Chocolate Porter,3010,Tustin Brewing Company,1.0
53849,Viking Oud Bruin,8264,Nørrebro Bryghus,110098,Nørrebro Viking Oud Bruin,3992,Nørrebro Bryghus,1.0
4374,Rajah's Royal IPA,1386,Harmon Restaurant & Brewery,49919,Harmon Rajahs Royal IPA,3015,Harmon Brewery & Restaurant,1.0
55166,Globe Ale,8264,Nørrebro Bryghus,100772,Nørrebro Globe Ale ,3992,Nørrebro Bryghus,1.0
60408,White Pass Wit,1386,Harmon Restaurant & Brewery,149138,Harmon White Pass Wit,3015,Harmon Brewery & Restaurant,1.0
55795,Helene Heather,8264,Nørrebro Bryghus,93241,Nørrebro Helene Heather,3992,Nørrebro Bryghus,1.0
59393,Stevns CCC Vintage 2009,8264,Nørrebro Bryghus,121590,Nørrebro Stevns CCC Vintage 2009,3992,Nørrebro Bryghus,1.0
60788,Mojito Pale Ale,1386,Harmon Restaurant & Brewery,79347,Harmon Mojito Pale Ale,3015,Harmon Brewery & Restaurant,1.0
1597,St. Rogue Red,132,Rogue Ales,596,Rogue Dry Hopped St. Rogue Red Ale,96,Rogue Ales,1.0
59643,Catenillo Pale Ale,8264,Nørrebro Bryghus,121437,Nørrebro Catenillo Pale Ale,3992,Nørrebro Bryghus,1.0
60041,Wagners Kellerbier,8264,Nørrebro Bryghus,125095,Nørrebro Wagners Kellerbier,3992,Nørrebro Bryghus,1.0
60048,Way Out,8264,Nørrebro Bryghus,125203,Nørrebro Way Out Stout,3992,Nørrebro Bryghus,1.0
330,Grail Ale,103,"Middle Ages Brewing Co., Ltd.",539,Middle Ages Grail Ale,91,Middle Ages Brewing,1.0
15772,Bombay Pale Ale,8264,Nørrebro Bryghus,26904,Nørrebro Bombay Pale Ale,3992,Nørrebro Bryghus,1.0
4372,Puget Sound Porter,1386,Harmon Restaurant & Brewery,19221,Harmon Puget Sound Porter,3015,Harmon Brewery & Restaurant,1.0
62955,Saison Lambic Pinot Noir,8264,Nørrebro Bryghus,103137,Nørrebro Saison Lambic Pinot Noir,3992,Nørrebro Bryghus,1.0
6436,La Moneuse,825,Brasserie de Blaugies,9351,La Moneuse,1613,Brasserie de Blaugies,1.0
75204,San Luis Rey Red Ale,13524,Oceanside Ale Works,54623,Oceanside Ale Works San Luis Rey Red Ale,6350,Oceanside Ale Works,1.0
13076,Buffalo Pale Ale,205,Buffalo Bill's Brewery,4591,Buffalo Bills Buffalo Pale Ale,789,Buffalo Bills Brewery,1.0
13075,Buffalo Bills Bellehop Porter,205,Buffalo Bill's Brewery,4593,Buffalo Bills Bellehop Porter,789,Buffalo Bills Brewery,1.0
11695,Holzkirchner Oberbräu Urtyp Hell,5140,Holzkirchner Oberbräu,23956,Holzkirchner Oberbräu Urtyp Hell,3654,Holzkirchner Oberbräu (Kaltenberg),1.0
76987,Conqueror 1075,25381,Windsor & Eton Brewery,159007,Windsor & Eton Conqueror 1075,11716,Windsor & Eton,1.0
57697,43 Degrees Below IPA,13524,Oceanside Ale Works,119932,Oceanside Ale Works 43 Degrees Below IPA,6350,Oceanside Ale Works,1.0
75364,Pearl Necklace Oyster Stout,68,Flying Dog Brewery,158083,Flying Dog Pearl Necklace Oyster Stout,109,Flying Dog Brewery,1.0
57696,Pier View Pale Ale,13524,Oceanside Ale Works,54622,Oceanside Ale Works Pier View Pale Ale,6350,Oceanside Ale Works,1.0
57695,Buccaneer Blonde,13524,Oceanside Ale Works,66705,Oceanside Ale Works Buccaneer Blonde,6350,Oceanside Ale Works,1.0
69723,Hopshackle Special No. 001 Bitter,25384,Hopshackle Brewery Ltd.,127005,Hopshackle Special No. 001 Bitter,8444,Hopshackle,1.0
48211,Big Ru,13524,Oceanside Ale Works,83942,Oceanside Ale Works Big Ru Scottish Wee Heavy,6350,Oceanside Ale Works,1.0
4370,Pinnacle Peak Pale Ale,1386,Harmon Restaurant & Brewery,34553,Harmon Pinnacle Peak Pale Ale,3015,Harmon Brewery & Restaurant,1.0
3588,Bière Darbyste,825,Brasserie de Blaugies,12171,Bière Darbyste,1613,Brasserie de Blaugies,1.0
48210,Oaked American Strong Ale,13524,Oceanside Ale Works,102195,Oceanside Ale Works Oaked American Strong Ale,6350,Oceanside Ale Works,1.0
4371,Brown's Point ESB,1386,Harmon Restaurant & Brewery,34487,Harmon Browns Point ESB,3015,Harmon Brewery & Restaurant,1.0
34118,American Strong Ale,13524,Oceanside Ale Works,58789,Oceanside Ale Works American Strong Ale ,6350,Oceanside Ale Works,1.0
29504,Purciel's Pale,13524,Oceanside Ale Works,57323,Oceanside Ale Works Purciels Pale,6350,Oceanside Ale Works,1.0
56825,Peak's ESB,13523,Peaks Brewpub,89876,Peaks ESB,6827,Peaks Brewpub,1.0
64386,Frozen Tail Ale,20476,Fire Island Beer Company,136203,Fire Island Frozen Tail Ale,10561,Fire Island Beer Company,1.0
56824,Train Wreck IPA,13523,Peaks Brewpub,110361,Peaks Train Wreck IPA,6827,Peaks Brewpub,1.0
56823,Wanda Fuca Gold,13523,Peaks Brewpub,90188,Peaks Wanda Fuca Gold,6827,Peaks Brewpub,1.0
69726,Hopshackle Extra Special Bitter,25384,Hopshackle Brewery Ltd.,98476,Hopshackle Extra Special Bitter,8444,Hopshackle,1.0
69728,Hopshackle Hop And Spicey,25384,Hopshackle Brewery Ltd.,83905,Hopshackle Hop And Spicey,8444,Hopshackle,1.0
34381,Spruce Juice,13523,Peaks Brewpub,64932,Peaks Spruce Juice,6827,Peaks Brewpub,1.0
31972,Ed's Red,13523,Peaks Brewpub,84109,Peaks Eds Red,6827,Peaks Brewpub,1.0
77131,Imperial Hefeweizen,68,Flying Dog Brewery,162199,Flying Dog Imperial Hefeweizen,109,Flying Dog Brewery,1.0
71029,Hopshackle Historic Porter,25384,Hopshackle Brewery Ltd.,85496,Hopshackle Historic Porter,8444,Hopshackle,1.0
71413,Hopshackle Resination,25384,Hopshackle Brewery Ltd.,111326,Hopshackle Resination,8444,Hopshackle,1.0
27255,Riptide Porter,1614,River City Brewing Company,29293,River City Brewing (Florida) Riptide Porter,3072,River City Brewing Company (Florida),1.0
67343,Highway 22 Collaborative Evil,4555,Tustin Brewing Company,141082,Tustin Highway 22 Collaborative Evil Imperial Stout,3010,Tustin Brewing Company,1.0
25127,La Petasse,4501,Brasserie De Bouillon / Le Marché De Nathalie,35774,Bouillon La Petasse,1633,Brasserie de Bouillon,1.0
